Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
1 403.23 900.00 100.015562 64.5222 0.0748324 10.2271 0.155305 0 0.400711 0 0.0166294 0 0 0.340903 3.73331 3.8996 0 16.6294
24 556.45 852.50 100.016246 64.5217 0.0748319 10.227 0.162132 0 0.394565 0 0.0166293 0 0 0.340901 3.73328 3.89957 0 16.6293
30 709.68 834.20 100.016466 64.5216 0.0748318 10.227 0.164322 0 0.392593 0 0.0166293 0 0 0.3409 3.73327 3.89957 0 16.6293
26 250.00 896.70 100.015726 64.5221 0.0748323 10.2271 0.156943 0 0.399237 0 0.0166294 0 0 0.340903 3.7333 3.89959 0 16.6294
25 1322.58 828.00 100.016057 64.5219 0.0748321 10.227 0.160242 0 0.396267 0 0.0166293 0 0 0.340902 3.73329 3.89958 0 16.6293
16 1169.35 855.00 100.015661 64.5221 0.0748324 10.2271 0.156294 0 0.399821 0 0.0166294 0 0 0.340903 3.7333 3.8996 0 16.6294
30 1016.13 813.00 100.016639 64.5215 0.0748316 10.227 0.166044 0 0.391042 0 0.0166292 0 0 0.3409 3.73327 3.89956 0 16.6292
2 403.23 897.00 100.015610 64.5222 0.0748324 10.2271 0.155784 0 0.40028 0 0.0166294 0 0 0.340903 3.7333 3.8996 0 16.6294
31 709.68 834.20 100.016466 64.5216 0.0748318 10.227 0.164322 0 0.392593 0 0.0166293 0 0 0.3409 3.73327 3.89957 0 16.6293
26 1322.58 825.00 100.016119 64.5218 0.074832 10.227 0.160856 0 0.395713 0 0.0166293 0 0 0.340901 3.73329 3.89958 0 16.6293
25 556.45 852.60 100.016245 64.5217 0.0748319 10.227 0.162118 0 0.394577 0 0.0166293 0 0 0.340901 3.73328 3.89957 0 16.6293
