Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
1 403.23 900.00 85.195120 75.7464 0.0878502 12.0062 0.182322 0 0.470418 0 0.0195223 0 0 0.400206 4.38275 4.57797 0 2.12638
24 556.45 852.50 85.570717 75.3841 0.0874646 11.9442 0.189502 0 0.461173 0 0.0194366 0 0 0.397748 4.35915 4.55711 0 2.60009
30 709.68 834.20 85.972900 75.0611 0.0870554 11.8976 0.191163 0 0.456723 0 0.0193457 0 0 0.396586 4.3431 4.53656 0 3.01078
26 250.00 896.70 82.364127 76.4569 0.0908697 11.8386 0.190578 0 0.484798 0 0.0201933 0 0 0.376915 4.25709 4.68136 0 1.60272
25 1322.58 828.00 87.119691 74.0731 0.0859095 11.741 0.183962 0 0.454926 0 0.019091 0 0 0.391365 4.28593 4.47684 0 4.28795
16 1169.35 855.00 86.843151 74.3089 0.086183 11.7783 0.180001 0 0.460466 0 0.0191518 0 0 0.392612 4.29958 4.49109 0 3.98363
30 1016.13 813.00 86.600085 74.5175 0.0864249 11.8114 0.191769 0 0.451625 0 0.0192055 0 0 0.393714 4.31164 4.5037 0 3.713
2 403.23 897.00 85.196610 75.7451 0.0878487 12.006 0.182881 0 0.469904 0 0.0195219 0 0 0.400199 4.38267 4.57789 0 2.12804
31 709.68 834.20 85.972900 75.0611 0.0870554 11.8976 0.191163 0 0.456723 0 0.0193457 0 0 0.396586 4.3431 4.53656 0 3.01078
26 1322.58 825.00 87.121577 74.0715 0.0859076 11.7407 0.184664 0 0.454282 0 0.0190906 0 0 0.391357 4.28584 4.47674 0 4.28995
25 556.45 852.60 85.602391 75.38 0.0874322 11.9472 0.189415 0 0.461017 0 0.0194294 0 0 0.398161 4.36102 4.55604 0 2.60026
27 250.00 895.70 82.077189 76.4951 0.0911874 11.8101 0.191378 0 0.486372 0 0.0202639 0 0 0.374087 4.23848 4.69109 0 1.60188
3 403.23 894.00 85.198111 75.7437 0.0878471 12.0058 0.183448 0 0.469383 0 0.0195216 0 0 0.400192 4.38259 4.57781 0 2.12971
31 1016.13 810.00 86.602129 74.5157 0.0864229 11.8111 0.192532 0 0.450923 0 0.0192051 0 0 0.393704 4.31154 4.50359 0 3.7152
32 709.68 833.20 85.677832 75.0994 0.0873552 11.8698 0.192008 0 0.458128 0 0.0194123 0 0 0.392624 4.32576 4.54671 0 3.00876
26 556.45 852.70 85.610308 75.379 0.0874241 11.948 0.189377 0 0.460993 0 0.0194276 0 0 0.398266 4.36149 4.55577 0 2.60025
30 862.90 817.00 85.711442 74.8516 0.087321 11.7968 0.19424 0 0.455872 0 0.0194047 0 0 0.387011 4.29193 4.53976 0 3.37609
28 250.00 894.70 81.793016 76.5332 0.0915042 11.7818 0.192178 0 0.48794 0 0.0203343 0 0 0.371331 4.21991 4.70077 0 1.60103
17 1169.35 852.00 86.845425 74.307 0.0861808 11.778 0.180632 0 0.459882 0 0.0191513 0 0 0.392601 4.29946 4.49098 0 3.98608
27 1322.58 822.00 87.123418 74.0699 0.0859058 11.7405 0.185374 0 0.453629 0 0.0190902 0 0 0.391349 4.28575 4.47665 0 4.2919
4 403.23 891.00 85.199621 75.7424 0.0878455 12.0056 0.184021 0 0.468856 0 0.0195212 0 0 0.400185 4.38252 4.57773 0 2.13138
33 709.68 832.20 85.358646 75.1411 0.0876819 11.8397 0.192909 0 0.459677 0 0.0194849 0 0 0.388432 4.30683 4.55774 0 3.00649
18 1169.35 849.00 86.847677 74.3051 0.0861786 11.7777 0.181272 0 0.45929 0 0.0191508 0 0 0.392591 4.29935 4.49086 0 3.9885
27 556.45 852.60 85.602391 75.38 0.0874322 11.9472 0.189415 0 0.461017 0 0.0194294 0 0 0.398161 4.36102 4.55604 0 2.60026
28 1322.58 819.00 87.125212 74.0684 0.085904 11.7402 0.186094 0 0.452969 0 0.0190898 0 0 0.391341 4.28566 4.47655 0 4.2938
5 403.23 888.00 85.201142 75.741 0.087844 12.0053 0.184602 0 0.468322 0 0.0195209 0 0 0.400178 4.38244 4.57765 0 2.13307
31 862.90 818.00 86.038132 74.8087 0.0869894 11.8274 0.193307 0 0.454317 0 0.019331 0 0 0.39142 4.3111 4.52839 0 3.37902
29 250.00 893.70 81.511597 76.571 0.0918202 11.7537 0.192979 0 0.489501 0 0.0204045 0 0 0.368644 4.20137 4.71039 0 1.60019
32 1016.13 807.00 86.604147 74.514 0.0864209 11.8109 0.193306 0 0.450212 0 0.0192046 0 0 0.393695 4.31144 4.50349 0 3.71736
29 1322.58 816.00 87.126957 74.0669 0.0859023 11.74 0.186823 0 0.4523 0 0.0190894 0 0 0.391333 4.28557 4.47647 0 4.29565
6 403.23 885.00 85.202673 75.7397 0.0878424 12.0051 0.18519 0 0.467781 0 0.0195205 0 0 0.400171 4.38236 4.57757 0 2.13477
30 250.00 892.70 81.232919 76.6087 0.0921352 11.7257 0.193779 0 0.491056 0 0.0204745 0 0 0.366025 4.18286 4.71997 0 1.59936
19 1169.35 846.00 86.849906 74.3032 0.0861763 11.7774 0.18192 0 0.458692 0 0.0191503 0 0 0.392581 4.29924 4.49075 0 3.9909
34 709.68 831.20 85.041828 75.1826 0.0880085 11.8097 0.193812 0 0.461223 0 0.0195575 0 0 0.384361 4.28785 4.56874 0 3.00422
30 1322.58 813.00 87.128651 74.0654 0.0859006 11.7398 0.187562 0 0.451624 0 0.019089 0 0 0.391325 4.28549 4.47638 0 4.29743
7 403.23 882.00 85.204213 75.7383 0.0878408 12.0049 0.185785 0 0.467234 0 0.0195202 0 0 0.400164 4.38228 4.57748 0 2.13648
