Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
1 403.23 900.00 14.820443 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
24 556.45 852.50 14.445529 0.176529 0 0.0549641 0 0 0 0 0 0 0 0.00415542 0.0258449 0.00451944 0 99.734
30 709.68 834.20 14.043566 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
26 250.00 896.70 17.651599 8.83298 0 2.70775 0 0 0 0 0 0 0 0.172865 1.28925 0.25178 0 86.7454
25 1322.58 828.00 12.896366 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
16 1169.35 855.00 13.172510 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
30 1016.13 813.00 13.416554 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
2 403.23 897.00 14.819000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
31 709.68 834.20 14.043566 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
26 1322.58 825.00 12.894541 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
25 556.45 852.60 14.413854 0.035552 0 0.0110706 0 0 0 0 0 0 0 0.000837799 0.00520485 0.00090996 0 99.9464
27 250.00 895.70 17.938549 9.7398 0 2.98386 0 0 0 0 0 0 0 0.18907 1.42185 0.278128 0 85.3873
3 403.23 894.00 14.817548 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
32 709.68 833.20 14.338650 1.31576 0 0.410717 0 0 0 0 0 0 0 0.0318317 0.192983 0.0326759 0 98.016
31 1016.13 810.00 13.414576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
30 862.90 817.00 14.305238 2.62729 0 0.821395 0 0 0 0 0 0 0 0.0646181 0.385963 0.0637153 0 96.037
26 556.45 852.70 14.405935 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
28 250.00 894.70 18.222733 10.6101 0 3.2485 0 0 0 0 0 0 0 0.204326 1.54914 0.303513 0 84.0844
17 1169.35 852.00 13.170292 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
27 1322.58 822.00 12.892763 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
4 403.23 891.00 14.816087 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
33 709.68 832.20 14.657851 2.67997 0 0.835673 0 0 0 0 0 0 0 0.064104 0.393225 0.0667341 0 95.9603
27 556.45 852.60 14.413854 0.035552 0 0.0110706 0 0 0 0 0 0 0 0.000837799 0.00520485 0.00090996 0 99.9464
18 1169.35 849.00 13.168096 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
28 1322.58 819.00 12.891032 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
5 403.23 888.00 14.814616 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
31 862.90 818.00 13.978531 1.20309 0 0.376566 0 0 0 0 0 0 0 0.0299466 0.176665 0.0290928 0 98.1846
29 250.00 893.70 18.504163 11.4459 0 3.50231 0 0 0 0 0 0 0 0.2187 1.67144 0.327987 0 82.8337
32 1016.13 807.00 13.412626 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
29 1322.58 816.00 12.889351 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
6 403.23 885.00 14.813136 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
30 250.00 892.70 18.782852 12.2492 0 3.74594 0 0 0 0 0 0 0 0.232251 1.78902 0.351599 0 81.632
19 1169.35 846.00 13.165924 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
34 709.68 831.20 14.974686 3.97737 0 1.23895 0 0 0 0 0 0 0 0.0940818 0.583806 0.0993008 0 94.0065
7 403.23 882.00 14.811646 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
30 1322.58 813.00 12.887721 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
28 556.45 853.00 14.406126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
31 250.00 891.70 19.058815 13.0218 0 3.97994 0 0 0 0 0 0 0 0.245035 1.90214 0.374393 0 80.4767
20 1169.35 843.00 13.163777 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
8 403.23 879.00 14.810147 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
33 1016.13 804.00 14.075500 2.97816 0 0.932681 0 0 0 0 0 0 0 0.0745594 0.437997 0.0707475 0 95.5059
29 556.45 852.70 14.405935 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
32 862.90 819.00 13.713929 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
