System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(NNO) rhol rhos viscosity aH2O chisqr
1 1322.58 900.00 100.014792 0.8705152258184535 0.447915 -1331947.704359 357.710201 89.842945 161.657853 -36186.454987 73346.692424 -11.890 0.000 2.163522 0.261091 5.472 n/a n/a
5 862.90 888.00 100.015346 0.8623749547313269 0.331962 -1333585.925610 360.332744 118.752233 158.996051 -95419.553829 111776.014473 -12.110 0.000 2.187925 0.173509 6.229 n/a n/a
20 1169.35 843.00 100.015887 0.8683831395542322 0.432281 -1341171.697673 350.883022 92.014465 162.514847 -44518.522357 86401.795519 -12.976 0.000 2.183523 0.251995 6.152 n/a n/a
24 250.00 898.70 100.015705 0.8293331410439783 0.102582 -1330811.694051 372.716650 360.127246 151.038266 -1321494.004682 327328.239492 -11.914 0.000 2.245268 0.052816 7.704 n/a n/a
21 556.45 852.20 100.016251 0.8546195341599374 0.235027 -1338589.710291 359.666411 163.980693 155.902480 -238764.319205 167662.487767 -12.793 0.000 2.217858 0.115914 7.203 n/a n/a
11 403.23 874.00 100.015992 0.8475246036512423 0.169832 -1334798.165878 365.570010 223.895187 153.420746 -480270.498647 216765.194666 -12.372 0.000 2.229249 0.082046 7.411 n/a n/a
13 1016.13 864.00 100.015626 0.8654887899703196 0.384525 -1337632.726352 355.342760 103.026306 160.856972 -63901.504047 97841.954367 -12.563 0.000 2.185024 0.212162 6.190 n/a n/a
10 709.68 873.00 100.015731 0.8593136048523675 0.286132 -1335688.563656 360.202445 136.444718 157.648854 -144438.887215 134264.944506 -12.391 0.000 2.201393 0.144459 6.653 n/a n/a
6 862.90 885.00 100.015395 0.8623973584923825 0.332839 -1334064.217135 359.920989 118.406693 159.054438 -95093.871258 112031.362982 -12.166 0.000 2.188586 0.174216 6.255 n/a n/a
2 1322.58 897.00 100.014837 0.8705406291771232 0.448903 -1332433.891125 357.295873 89.616352 161.727102 -36026.209069 73467.635870 -11.945 0.000 2.164284 0.262170 5.496 n/a n/a
21 1169.35 840.00 100.015945 0.8684044200128610 0.433392 -1341660.596578 350.445259 91.749279 162.614673 -44307.687401 86586.760186 -13.036 0.000 2.184276 0.253178 6.179 n/a n/a
14 1016.13 861.00 100.015680 0.8655116221219543 0.385540 -1338116.648130 354.917411 102.724711 160.938380 -63645.262566 98068.627574 -12.621 0.000 2.185730 0.213100 6.216 n/a n/a
22 556.45 852.30 100.016249 0.8549355069493652 0.235100 -1338568.310410 359.685405 163.991094 155.905194 -238771.193880 167639.089189 -12.791 0.000 2.217845 0.115666 7.202 n/a n/a
11 709.68 870.00 100.015784 0.8593345697753468 0.286930 -1336162.864982 359.788832 136.029840 157.699277 -143982.011085 134585.498884 -12.448 0.000 2.202014 0.145041 6.681 n/a n/a
7 862.90 882.00 100.015445 0.8624197640358152 0.333723 -1334542.693384 359.508014 118.060427 159.114263 -94767.454701 112289.803521 -12.222 0.000 2.189247 0.174930 6.282 n/a n/a
3 1322.58 894.00 100.014883 0.8705658593806438 0.449897 -1332920.289232 356.880308 89.389470 161.797680 -35865.423970 73589.341384 -12.000 0.000 2.165046 0.263259 5.520 n/a n/a
15 1016.13 858.00 100.015734 0.8655343449751973 0.386563 -1338600.822340 354.490722 102.422510 161.021629 -63388.156604 98297.734129 -12.680 0.000 2.186436 0.214050 6.243 n/a n/a
25 250.00 897.70 100.015715 0.8264085354710559 0.102283 -1331018.587997 372.540176 359.898220 150.992106 -1320830.983792 327555.743547 -11.932 0.000 2.245326 0.053738 7.718 n/a n/a
22 1169.35 837.00 100.016004 0.8684254287536556 0.434511 -1342149.802201 350.006049 91.483642 162.716568 -44095.945487 86773.127422 -13.096 0.000 2.185031 0.254375 6.207 n/a n/a
12 403.23 875.00 100.015979 0.8506305617790743 0.170356 -1334586.512441 365.754252 224.033554 153.459862 -480447.078984 216533.036593 -12.353 0.000 2.229157 0.080376 7.398 n/a n/a
12 709.68 867.00 100.015837 0.8593555780228803 0.287736 -1336637.329613 359.373998 135.614022 157.751093 -143524.452363 134910.351190 -12.506 0.000 2.202635 0.145628 6.709 n/a n/a
4 1322.58 891.00 100.014930 0.8705909079995818 0.450897 -1333406.902707 356.463497 89.162300 161.869609 -35704.090266 73711.801992 -12.055 0.000 2.165810 0.264359 5.544 n/a n/a
8 862.90 879.00 100.015495 0.8624421680452283 0.334615 -1335021.358783 359.093811 117.713427 159.175560 -94440.289900 112551.386100 -12.278 0.000 2.189909 0.175652 6.308 n/a n/a
26 250.00 896.70 100.015726 0.8235117614544698 0.101987 -1331224.823653 372.364114 359.667908 150.946380 -1320162.725960 327782.835020 -11.950 0.000 2.245384 0.054651 7.732 n/a n/a
23 1169.35 834.00 100.016064 0.8684461540780376 0.435639 -1342639.320919 349.565379 91.217553 162.820575 -43883.276932 86960.885604 -13.157 0.000 2.185787 0.255586 6.234 n/a n/a
23 556.45 852.40 100.016248 0.8552517209760861 0.235173 -1338546.904858 359.704403 164.001488 155.907912 -238778.053138 167615.691883 -12.789 0.000 2.217833 0.115418 7.200 n/a n/a
16 1016.13 855.00 100.015789 0.8655569516316721 0.387594 -1339085.254598 354.062682 102.119698 161.106760 -63130.168141 98529.300866 -12.738 0.000 2.187144 0.215010 6.270 n/a n/a
13 403.23 876.00 100.015964 0.8519372514542949 0.170486 -1334408.229726 365.909247 224.220220 153.475251 -480776.340814 216362.824665 -12.334 0.000 2.229017 0.079619 7.386 n/a n/a
5 1322.58 888.00 100.014977 0.8706157663536185 0.451904 -1333893.735667 356.045430 88.934841 161.942916 -35542.198284 73835.009809 -12.110 0.000 2.166575 0.265471 5.568 n/a n/a
17 1016.13 852.00 100.015845 0.8655794349633888 0.388634 -1339569.950670 353.633278 101.816269 161.193818 -62871.278595 98763.354425 -12.797 0.000 2.187853 0.215981 6.297 n/a n/a
9 862.90 876.00 100.015546 0.8624645670724489 0.335514 -1335500.217814 358.678368 117.365685 159.238365 -94112.362193 112816.161681 -12.334 0.000 2.190571 0.176382 6.335 n/a n/a
13 709.68 864.00 100.015891 0.8593766275804323 0.288549 -1337111.961846 358.957933 135.197252 157.804340 -143066.197951 135239.581974 -12.563 0.000 2.203256 0.146222 6.737 n/a n/a
24 1169.35 831.00 100.016124 0.8684665839259628 0.436774 -1343129.159252 349.123235 90.951010 162.926734 -43669.661438 87150.021108 -13.218 0.000 2.186545 0.256813 6.262 n/a n/a
24 556.45 852.50 100.016246 0.8555681758457213 0.235247 -1338525.493654 359.723404 164.011873 155.910637 -238784.897000 167592.295859 -12.787 0.000 2.217820 0.115169 7.199 n/a n/a
27 250.00 895.70 100.015737 0.8206427372994398 0.101695 -1331430.405582 372.188461 359.436314 150.901087 -1319489.255013 328009.518707 -11.969 0.000 2.245444 0.055557 7.746 n/a n/a
10 862.90 873.00 100.015597 0.8624869575419013 0.336420 -1335979.275094 358.261675 117.017194 159.302715 -93783.656495 113084.182188 -12.391 0.000 2.191234 0.177120 6.362 n/a n/a
18 1016.13 849.00 100.015901 0.8656017875994875 0.389682 -1340054.916422 353.202497 101.512218 161.282848 -62611.468796 98999.921204 -12.856 0.000 2.188562 0.216964 6.324 n/a n/a
14 709.68 861.00 100.015946 0.8593977163452376 0.289369 -1337586.766104 358.540628 134.779519 157.859053 -142607.234385 135573.273780 -12.621 0.000 2.203878 0.146823 6.766 n/a n/a
14 403.23 875.00 100.015979 0.8506305616916084 0.170356 -1334586.512335 365.754252 224.033554 153.459862 -480447.078995 216533.036598 -12.353 0.000 2.229157 0.080376 7.398 n/a n/a
19 1016.13 846.00 100.015959 0.8656240019267061 0.390738 -1340540.157898 352.770328 101.207540 161.373896 -62350.718965 99239.027295 -12.916 0.000 2.189273 0.217959 6.352 n/a n/a
6 1322.58 885.00 100.015025 0.8706404255005189 0.452917 -1334380.792296 355.626096 88.707091 162.017624 -35379.738095 73958.955986 -12.166 0.000 2.167342 0.266595 5.593 n/a n/a
11 862.90 870.00 100.015650 0.8625093357436150 0.337334 -1336458.535351 357.843722 116.667945 159.368647 -93454.157287 113355.500518 -12.448 0.000 2.191897 0.177867 6.389 n/a n/a
25 556.45 852.60 100.016245 0.8558848711266864 0.235320 -1338504.076776 359.742408 164.022250 155.913367 -238791.725485 167568.901128 -12.785 0.000 2.217807 0.114921 7.198 n/a n/a
25 1169.35 828.00 100.016186 0.8684867058663199 0.437919 -1343619.323840 348.679604 90.684012 163.035091 -43455.078065 87340.518159 -13.280 0.000 2.187304 0.258054 6.290 n/a n/a
15 709.68 858.00 100.016001 0.8594188421159648 0.290196 -1338061.746888 358.122071 134.360810 157.915270 -142147.547821 135911.511202 -12.680 0.000 2.204500 0.147430 6.794 n/a n/a
28 250.00 894.70 100.015749 0.8178013641582765 0.101406 -1331635.338900 372.013215 359.203445 150.856222 -1318810.597621 328235.800089 -11.987 0.000 2.245504 0.056456 7.760 n/a n/a
7 1322.58 882.00 100.015073 0.8706648762340137 0.453936 -1334868.076884 355.205487 88.479052 162.093759 -35216.699511 74083.630647 -12.222 0.000 2.168110 0.267731 5.617 n/a n/a
